Galaxy,X-ray flux density(Jy),X-ray Flux Uncertainty (Jy),X-ray Luminosity (L_solar),Adjusted X-ray Flux (Jy),Adjusted X-ray Flux Uncertainty,Adjusted X-ray Luminosity (W),Adjusted X-ray Luminosity (Lsolar),Radio Flux (Jy),Radio Flux NED Uncertainty (Jy),Radio Flux Uncertainty (Jy),Radio Luminosity (L_solar),AGN Class,Radio Jet,Detection,1mm flux density (Jy),RMS,1mm frequency (Hz),mm,X-ray survey,X-ray Telescope,Bi Sample,X-ray Good,Radio Survey,Mass 100pc,Mass 100pc Error,Mass 75pc,Mass 75pc Error,Mass 50pc,Mass 50pc Error,Mass 25pc,Mass 25pc Error,Bolometric Luminosity (L_solar),Bolometric Luminosity (erg/s),Accretion rate (M_solar/yr),Accretion Rate Error,Mass beam width,Dust Mass,Total Mass,Resolved,Stellar Mass (Log),LSB Flux Density,LSB Frequency (Hz),LSB RMS,USB Flux Density,USB Frequency (Hz),USB RMS,Distance (Mpc),Spectral Index,Spectral Index Error,New Index Error,Star Formation Rate (free-free)?,Beam Width,Emission mech,Total Dust Mass,Nuclear dust mass,Nuclear Dust Mass Max,Nuclear Dust Mass Min,Dominant,LL Dust Mass,X-ray Luminosity (ergs/s),X-ray Luminosity Uncertainty (ergs/s),Log OIII Lum (erg/s),Log OIII Error,OIII Accretion rate,Hubble Type,Hubble Type Uncertainty,Radio Galaxy Class,LERG,mm RMS (Jy),LSB RMS (Jy),USB RMS (Jy),OIII Lbol,Radio Luminosity Error (L_solar),Radio Luminosity (erg/s),Kband Mag,Kband Mag Error,Mass 200pc,Total Radio Flux SFR,100pc CO Intensity (Jy km/s),75pc CO Intensity (Jy km/s),50pc CO Intensity (Jy km/s),Total Mass Error,Tim SFR Log,Tim SFR Error,Source,Galaxy Type,Mass 200pc Error,Radio Luminosity (SFR),OIII Accretion rate error,100pc CO Int Error,75pc CO Int Error,50pc CO Int Error,Excess Radio Log,Excess Radio Log Error,Excess Radio (erg/s),Total Size (as),X-ray Emission Survey/X-ray Image Source/Resolved,mm Luminosity (erg/s),mm Luminosity Uncertainty (erg/s),log M_BH,200pc CO Intensity (Jy km/s),200pc CO Int Error,log10 Surface Density 200pc,log10 Surface Density 50pc,Surface Density Ratio,log10 Surface Density 200pc error,log10 Surface Density 50pc error,Jet Power,log Hbeta (erg/s),OII/Hbeta ratio,Sigma Star (km/s),Eddington Fraction,Log Edd Frac,OIII Lum err (erg/s),OIII Luminosity (erg/s),Radio Luminosity Error (erg/s),Total Mass New,OIII Lbol error
NGC1387,6.49e-09,6.49e-10,803000.0,7.64e-10,7.64e-11,5.249999999999999e+31,140000.0,0.004,0.0005,0.00064,690.0,No class,No,Yes,0.00104,5.35e-05,238000000000.0,Yes,X-ray 2-10 keV (Chandra),Chandra,Yes,Yes,Radio 1.4GHz,11324291.0,1132457.0,6289037.0,628953.0,2690895.0,269205.0,,,3767386.663,1.45e+40,2.18e-06,2.18e-07,1653472.0,316000.0,369167687.0,No,10.67,0.001218,231000000000.0,5.51e-05,0.001216,246000000000.0,6.26e-05,19.9,-0.03,1.09,1.09,0.39,40.27,Mix,9500000.0,2100.0,148000.0,1310.0,Synch,120000.0,2.14e+39,2.14e+38,,,,-2.8,0.5,,N,4.53e-06,3.5e-06,5.04e-06,,110.4,2.64e+36,10.06,0.111,46536219.0,0.005314222,6.80249095,3.777818978,1.616418213,36916770.0,-0.68,0.2,Tim,ETG,4653629.0,3.99e+36,,0.68026556,0.377811545,0.161711099,-0.179487826,0.211617777,-1.35e+36,25.3,Chandra/Chandra/No,1.17e+38,6.03e+36,6.435048811,27.95426369,2.795430375,2.57,2.53,-0.03377436,0.04,0.04,,,,87.0,,,,,4.22e+35,369167687.0,
NGC1574,,,,,,,,,,,,No class,No,Yes,0.00332,3.3e-05,238000000000.0,Yes,No survey,,No,No,Radio 5GHz (Parkes),5519672.0,551986.0,4532352.0,453258.0,2509697.0,251011.0,909000.0,91013.0,,,,,374402.0,949000.0,11800639.0,No,10.79,0.0035,232000000000.0,7.08e-05,0.0036,246000000000.0,6.18e-05,19.3,0.46,0.45,0.49,1.18,15.42,Mix,240000.0,3000.0,77600.0,51.0,Thermal,210000.0,,,,,,-2.9,0.5,,N,2.89e-06,1.62e-06,1.61e-06,,,0.0,9.935,0.098,6239787.0,0.000180598,3.525021672,2.894490361,1.602764577,1180073.0,-0.91,0.2,Tim,ETG,623995.0,2.35e+36,,0.352514022,0.289463473,0.160302529,,,,7.6,NA/NA/NA,3.52e+38,3.5e+36,8.045390399,3.984907866,0.398501273,1.7,2.5,0.808571509,0.04,0.04,,,,180.0,,,,,,11800639.0,
NGC2110,1.72e-06,1.72e-07,988000000.0,1.72e-06,1.72e-07,,988000000.0,0.3,0.01,0.032,165631.0,No class,No,Yes,0.0214,0.000453,238000000000.0,Yes,X-ray 2-10 keV (XMM),Chandra,Yes,Yes,Radio 1.4GHz,5870642.0,590246.0,,,,,,,19905123216.0,7.66e+43,0.01149,0.001149,5520628.0,20800000.0,,No,10.41,0.0234,231000000000.0,0.000339,0.0227,245000000000.0,0.000337,35.6,-0.5,0.35,0.41,25.81,,Radio,19000000.0,17000000.0,18600000.0,15800000.0,Synch,19000000.0,5.13e+42,5.13e+41,40.41,0.04,0.01349457785953643,-3.0,0.5,,N,1.42e-05,7.87e-06,8.73e-06,8.996385239690953e+43,17667.30667,6.34e+38,10.149,0.058,22435830.0,,1.208066642,,,,-1.41,,Me,Spiral,2244418.0,4.91e+38,0.001243120512420496,0.12146142,,,,,,8.1,XMM/Rosat/No,7.719999999999999e+39,1.64e+38,8.772994667,4.616867602,0.461858489,2.25,,,0.04,,,39.71,5.011872336272674,250.0,0.001699959,-2.769561553,2.3678485950866586e+39,2.5703957827688437e+40,6.76e+37,78555004.0,8.287470082803306e+42
NGC3169,6.47e-08,6.47e-09,7070000.0,7.65e-09,7.65e-10,4.64e+32,1200000.0,0.0932,0.0,0.00932,14198.0,Seyfert,Yes,Yes,0.00342,0.000107,239000000000.0,Yes,X-ray 2-10 keV (Chandra),Chandra,Yes,Yes,Radio 1.4GHz,63480784.0,6348084.0,39669087.0,3966917.0,,,,,796826628.7,3.0600000000000003e+42,0.000459,4.59e-05,22675888.0,903000.0,359344956.0,No,10.84,0.0032,232000000000.0,0.000151,0.00308,247000000000.0,0.000134,18.7,-0.61,1.02,1.05,1.14,53.98,Radio,15000000.0,4100000.0,4270000.0,3890000.0,Synch,4100000.0,3.390000000000001e+41,3.3899999999999997e+40,39.46,0.04,0.001514116539141471,1.2,0.5,HERG,N,2.81e-06,3.54e-06,3.58e-06,1.0094110260943139e+43,1419.8,5.43e+37,9.993,0.092,184987848.0,0.005858015,43.1839323,26.98560238,,35934497.0,0.29,0.2,Tim,Spiral,18498787.0,3.72e+37,0.00013948041558571231,4.318396777,2.698565913,,0.163890255,0.2045574,1.71e+37,9.2,Chandra/NA/NA,3.4200000000000004e+38,1.07e+37,7.852668739,125.8412743,12.58412864,3.17,,,0.04,,6.83e+41,39.03,2.691534803926914,165.0,0.001125336,-2.948717788,2.656769820680234e+38,2.8840315031266113e+39,5.43e+36,359344956.0,9.298694372380819e+41
NGC3351,1.06e-07,1.1e-08,1040000.0,3.13e-09,3.25e-10,5.429999999999999e+31,142000.0,0.0425,0.0,0.00425,1851.0,No class,Yes,No,0.000444,0.000148,340000000000.0,No,0.2-2keV (ROSAT),ROSAT,No,No,Radio 1.4GHz,24297622.0,2429768.0,14288951.0,1428905.0,8097212.0,809738.0,,,1017838.46,3.91e+39,5.86e-07,5.86e-08,728748.0,,,ND,10.28,,,,,,,10.0,,,,,,ND,32000000.0,,,,Synch,,5.46e+38,5.669999999999999e+37,37.28,0.15,1.0003668769307074e-05,3.1,0.4,LERG,Y,5.6e-06,,,6.669112512871383e+40,185.1,7.08e+36,9.026,0.015,45768899.0,,55.73559284,32.77699947,18.57395291,,-1.29,,Me,Spiral,4576893.0,,3.4557673763571284e-06,5.573572485,3.277722395,1.857434903,,,,33.4,Rosat/Einstein/NA,1.81e+37,0.0,5.856482117,104.9879169,10.4987987,2.56,3.01,0.451885027,0.04,0.04,,38.08,0.1584893192461123,67.0,0.00073667,-3.132727016,6.582414050204054e+36,1.9054607179632521e+37,7.08e+35,101530234.0,2.303844917571419e+40
NGC3368,9.66e-09,9.66e-10,515000.0,9.66e-09,9.66e-10,,515000.0,0.0281,0.0,0.00281,3966.0,No class,Yes,No,0.000606,0.000202,230000000000.0,Yes,X-ray 2-10 keV (ASCA),ASCA,No,No,Radio 1.4GHz,74618787.0,7461879.0,48409849.0,4840985.0,26195361.0,2619537.0,7778000.0,777803.0,3492006.104,1.34e+40,2.01e-06,2.01e-07,4479964.0,,600375406.0,,10.67,,,,,,,18.0,,,,,17.86,ND,35000000.0,,,,Thermal,,1.98e+39,1.98e+38,38.85,0.04,0.0003716715368016736,2.1,0.7,LERG,Y,4.95e-06,,,2.4778102453444907e+42,396.6,1.52e+37,9.486,0.068,232552402.0,0.01056331,54.7855835,35.54281616,19.23279953,60037541.0,-0.29,0.2,Tim,Spiral,23255240.0,9.8e+36,3.423838197017017e-05,5.478558569,3.554281955,1.923280578,0.190015793,0.2045574,5.38e+36,14.6,ASCA/Einstein/NA,5.400000000000001e+37,0.0,6.787361499,170.7414398,17.07414405,3.27,3.52,0.255823541,0.04,0.04,2.87e+41,38.63,1.6595869074375564,102.0,0.002624339,-2.580980066,6.5215965657467e+37,7.079457843841402e+38,1.52e+36,600375406.0,2.2825587980113448e+41
NGC3607,6.21e-10,3.45e-10,128000.0,6.21e-10,3.45e-10,,128000.0,0.0069,0.0004,0.0008,1481.0,Other,No,Yes,0.00269,0.000164,239000000000.0,Yes,X-ray 2-10 keV (Chandra),Chandra,Yes,Yes,Radio 1.4GHz,32233211.0,3223325.0,21488192.0,2148825.0,,,,,2580432.413,9.919999999999999e+39,1.49e-06,1.49e-07,14345685.0,1000000.0,163194812.0,No,11.34,0.0027,232000000000.0,0.000145,0.0026,247000000000.0,0.000143,22.2,-0.6,1.23,1.25,1.26,59.03,Radio,3800000.0,1600.0,79400.0,63.0,Synch,25.0,1.4499999999999995e+39,1.45e+38,39.48,0.04,0.001585474653211047,-3.2,1.4,,N,3.32e-06,3.52e-06,3.89e-06,1.056983102140698e+43,171.7101449,5.67e+36,9.529,0.042,77463756.0,0.001887655,15.55824995,10.3718698,,16319482.0,-0.54,0.2,Tim,ETG,7746377.0,5.51e+36,0.00014605392505380165,1.555826957,1.037189924,,0.012218142,0.206136255,1.57e+35,5.2,Chandra/Chandra/No,3.79e+38,2.31e+37,8.349914663,37.39002228,3.739003044,2.79,,,0.04,,2.03e+40,39.16,2.089296130854041,206.53,0.000613671,-3.2120644,2.781979524834317e+38,3.0199517204019944e+39,6.57e+35,163194812.0,9.736928336920109e+41
NGC3862,2.24e-07,2.24e-08,599000000.0,2.64e-08,2.64e-09,3.92e+34,102000000.0,5.7,0.0,0.57,21246079.0,Other,Yes,Yes,0.0635,0.00143,234000000000.0,Yes,0.3-8keV (Chandra),Chandra,No,Yes,Radio 1.4GHz,,,,,,,,,940597549.3,3.6200000000000003e+42,0.000543,5.43e-05,,445000000.0,,No,11.68,0.0481,227000000000.0,7.8e-05,0.0446,242000000000.0,7.84e-05,92.5,-1.14,0.04,0.45,516.1,0.0,Radio,,813.0,14100.0,46.0,Synch,96.0,3.92e+41,3.92e+40,39.2,0.04,0.00083206892604209,-4.8,0.6,LERG,Y,2.35e-05,2.15e-06,2.38e-06,5.547126173613933e+42,2124607.9,8.13e+40,11.166,0.037,,,,,,,-0.63,,Me,ETG,,9.8e+39,7.665018946699731e-05,,,,,,,0.0,Chandra/NA/NA,1.52e+41,3.43e+39,8.859864698,,,,,,,,,,,260.0,6.08e-05,-4.216096421,1.4600036088951872e+38,1.5848931924611238e+39,8.13e+39,470830668.0,5.110012631133155e+41
NGC4061,,,,,,,,0.386,0.0,0.0386,1488974.0,No class,Yes,Yes,0.00241,0.00018,234000000000.0,Yes,No survey,,No,No,Radio 1.4GHz,12550932.0,1255348.0,7915178.0,791922.0,,,,,,,,,6068648.0,17500000.0,849146027.0,No,11.54,0.00079,226000000000.0,1.92e-05,0.00067,242000000000.0,1.79e-05,94.1,-2.41,0.53,1.0,20.27,282.47,Radio,,21000000.0,21300000.0,16600000.0,Synch,21000000.0,,,,,,-5.0,0.5,,N,2.82e-06,4.5e-07,4.89e-07,,148897.4,5.7e+39,11.376,0.04,45167382.0,0.00054667,0.337178484,0.212639812,,84914606.0,-0.71,0.2,Tim,ETG,4516809.0,3.72e+36,,0.033724703,0.02127485,,3.184550198,0.2045574,5.69e+39,5.0,NA/NA/NA,5.98e+39,4.46e+38,,1.213413402,0.121343245,2.56,,,0.04,,5.31e+43,,,477.2,,,,,5.7000000000000005e+38,849146027.0,
NGC4261,4.47e-08,8.9e-09,20700000.0,4.47e-08,8.9e-09,,20700000.0,22.0,1.0,2.42,9782064.0,LINER,Yes,Yes,0.217,0.00153,237000000000.0,Yes,X-ray 2-10 keV (XMM),Chandra,Yes,Yes,Radio 1.4GHz,19414759.0,1941487.0,16238041.0,1623817.0,10552814.0,1055302.0,,,241588447.4,9.29e+41,0.00013935,1.39e-05,4126463.0,173000000.0,,No,10.8,0.22,229000000000.0,0.00049,0.21,245000000000.0,0.000491,31.948,-0.69,0.05,0.25,210.66,0.0,Radio,,1200000.0,1260000.0,1150000.0,Synch,1200000.0,1.17e+41,1.17e+40,39.6,0.04,0.0020900626454058674,-4.8,0.4,LERG,Y,7.22e-05,2.6e-06,3.23e-06,1.393375096937245e+43,1076027.04,3.74e+40,9.013,0.015,20900284.0,,5.491603017,4.593045563,2.984938547,,-1.93,,Me,ETG,2090039.0,3.99e+39,0.0001925365708947885,0.549163417,0.459308281,0.298499586,,,,0.0,XMM/Chandra/No,6.28e+40,4.43e+38,,5.911794305,0.591182324,2.22,3.13,0.907336079,0.04,0.04,,39.23,2.3442288153199464,296.7,6.8e-05,-4.167491087,3.667363255138829e+38,3.9810717055349856e+39,4.12e+39,23679903.0,1.2835771392985899e+42
NGC4429,6.1e-08,6.1e-09,2720000.0,2.79e-09,2.79e-10,1.32e+32,340000.0,0.0001,0.0005,0.0005,12.0,No class,No,Yes,0.00111,8.53e-05,339000000000.0,No,0.2-4eV (Einstein),Einstein,No,No,Radio 1.4GHz,4319338.0,432026.0,2375116.0,237679.0,755799.0,76106.0,31800.0,9476.0,2339579.031,9e+39,1.35e-06,1.35e-07,-15403.0,59300.0,89737098.0,No,11.17,0.0011,334000000000.0,4.33e-05,0.00109,345000000000.0,5.25e-05,16.5,-0.27,1.92,1.92,0.3,12.76,Mix,8500000.0,140000.0,162000.0,4370.0,Synch,100000.0,1.31e+39,1.31e+38,38.69,0.04,0.00025713388016843287,-0.8,1.5,,N,1.18e-06,1.8e-06,2.41e-06,1.7142258677895526e+42,60.0,4.590000000000001e+34,10.045,0.065,20621860.0,0.001878998,3.639302254,2.001177967,0.63680619,8973714.0,-0.84,0.2,Tim,ETG,2062205.0,2.76e+36,2.3687173041116035e-05,0.364008016,0.20025923,0.064123691,-1.77915567,2.179187961,-2.72e+36,16.3,Einstein/Einstein/No,1.23e+38,9.42e+36,8.008164282,17.37515926,1.737532222,2.22,1.98,-0.231801539,0.04,0.04,,38.7,0.9772372209557992,177.0,9.05e-05,-4.043351421,4.511842484022102e+37,4.897788193684436e+38,2.3e+35,89737098.0,1.5791448694077358e+41
NGC4435,7.45e-09,7.45e-10,203000.0,5.86e-10,5.86e-11,2.77e+31,72300.0,0.006,0.006,0.006,712.0,No class,No,Yes,0.000731,2.46e-05,239000000000.0,Yes,X-ray 2-10 keV (Chandra),Chandra,Yes,Yes,Radio 1.4GHz,17945173.0,1794529.0,11346039.0,1134622.0,6042946.0,604328.0,1587000.0,158829.0,5164603.177,1.99e+40,2.99e-06,2.99e-07,809686.0,150000.0,87557360.0,Yes,10.69,0.00061,230000000000.0,1.86e-05,0.00066,246000000000.0,1.8e-05,16.5,1.18,0.61,0.74,0.19,19.05,Mix,3700000.0,150000.0,151000.0,794.0,Thermal,170000.0,2.95e+39,2.9500000000000003e+38,39.02,0.04,0.0005497424877267262,-2.1,0.5,,N,3.91e-07,2.77e-07,3.01e-07,3.6649499181781747e+42,712.0,2.72e+36,9.961,0.059,40823700.0,0.001833356,15.67988515,9.913785458,5.280121565,8755738.0,-0.84,0.2,Tim,ETG,4082375.0,2.76e+36,5.0642277969386e-05,1.567998479,0.991394304,0.528041744,-0.005856923,0.477824413,-3.7e+34,7.2,Chandra/Einstein/No,5.69e+37,1.92e+36,7.681900623,35.67036867,3.567041247,2.51,2.89,0.374456332,0.04,0.04,,39.2,0.6606934480075964,152.76,0.001156407,-2.936889288,9.646148184644954e+37,1.047128548050907e+39,2.72e+36,87557360.0,3.3761518646257337e+41
NGC4438,2.21e-09,2.21e-10,135000.0,2.21e-09,2.21e-10,,135000.0,0.0633,0.0,0.00633,7507.0,LINER,No,Yes,0.000524,0.000126,239000000000.0,Yes,X-ray 2-10 keV (Chandra),Chandra,Yes,Yes,Radio 1.4GHz,60230460.0,6023046.0,37602174.0,3760218.0,17458939.0,1745895.0,,,2150226.265,8.27e+39,1.24e-06,1.24e-07,14726041.0,108000.0,395655955.0,No,10.75,0.00055,232000000000.0,0.000135,0.00048,247000000000.0,0.000114,16.5,-2.16,5.45,5.51,0.14,45.1,Radio,8900000.0,363.0,4790.0,28.0,Synch,13.0,1.1999999999999999e+39,1.1999999999999999e+38,39.69,0.04,0.002571338801684329,0.6,1.5,,N,2.47e-06,3.21e-06,3.04e-06,1.7142258677895527e+43,750.7,2.87e+37,8.79,0.015,153588448.0,0.008284608,52.62733936,32.85550833,15.25503039,39565596.0,-0.3,0.2,Tim,Spiral,15358845.0,9.57e+36,0.00023687173041116036,5.262734106,3.285551104,1.525503623,0.477129499,0.2045574,1.91e+37,13.0,Chandra/Chandra/No,4.08e+37,9.81e+36,7.520171179,134.2003918,13.42003924,3.09,3.35,0.259779278,0.04,0.04,7.42e+41,39.64,1.1220184543019562,142.0,0.002714286,-2.566344393,4.511842484022103e+38,4.8977881936844363e+39,2.87e+36,395655955.0,1.579144869407736e+42
NGC4501,8.28e-09,8.28e-10,1210000.0,8.28e-09,8.28e-10,,1210000.0,0.277,0.0,0.0277,23651.0,Seyfert 2,Yes,Yes,0.00144,7.89e-05,237000000000.0,Yes,X-ray 2-10 keV (XMM),Chandra,Yes,Yes,Radio 1.4GHz,52452261.0,5245240.0,33457018.0,3345723.0,16694853.0,1669528.0,,,21819249.27,8.39e+40,1.26e-05,1.26e-06,13464740.0,220000.0,239162791.0,Yes,11.0,0.0012,231000000000.0,0.000147,0.0013,245000000000.0,0.000137,14.0,1.32,2.74,2.8,0.27,42.63,Mix,100000000.0,437.0,7760.0,41.0,Thermal,29.0,1.23e+40,1.23e+39,39.31,0.04,0.0010719124209515084,3.3,0.6,LERG,Y,2.53e-06,2.8e-06,2.96e-06,7.146082806343389e+42,2365.1,9.05e+37,9.033,0.015,113532442.0,0.006956002,63.66067886,40.6063807,20.2623421,23916282.0,0.43,0.2,Tim,Spiral,11353251.0,5.14e+37,9.874457221805295e-05,6.366084551,4.060664196,2.026286566,0.245512592,0.2045574,3.91e+37,10.0,XMM/Einstein/No,8.01e+37,4.39e+36,6.787361499,137.7929592,13.77930362,2.96,3.33,0.371582603,0.04,0.04,1.2700000000000001e+42,38.6,5.128613839913658,102.0,0.009259211,-2.033426019,1.88084899462958e+38,2.04173794466954e+39,9.05e+36,239162791.0,6.58297148120353e+41
NGC4697,1.17e-09,4.83e-10,78600.0,1.17e-09,4.83e-10,,78600.0,0.0006,0.0005,0.0005,34.0,No class,No,Yes,0.000481,4.44e-05,239000000000.0,Yes,X-ray 2-10 keV (Chandra),Chandra,Yes,Yes,Radio 1.4GHz,847995.0,84802.0,669577.0,66961.0,406763.0,40682.0,,,638511.9865,2.46e+39,3.69e-07,3.69e-08,173452.0,47200.0,1019517.0,Yes,11.07,0.000416,232000000000.0,6.48e-05,0.000364,247000000000.0,5e-05,11.4,-2.13,3.31,3.41,0.06,30.49,Radio,250000.0,170000.0,195000.0,151000.0,Synch,180000.0,3.3100000000000003e+38,3.31e+37,,,,-4.5,0.8,,N,3.72e-07,4.92e-07,4.24e-07,,28.33333333,1.2999999999999998e+35,9.667,0.066,1037260.0,4.47e-05,1.552196443,1.225613877,0.744551271,101954.0,-1.08,0.2,Tim,ETG,103728.0,1.59e+36,,0.155225015,0.122568213,0.074466393,-1.086857999,0.413234737,-1.46e+36,3.3,Chandra/Rosat/Yes,1.79e+37,1.65e+36,7.905722817,1.898632348,0.189867635,0.92,1.71,0.797573794,0.04,0.04,,,,169.0,,,,,1.08e+35,1019517.0,
NGC4826,8.34e-09,1.86e-09,141000.0,9.84e-10,2.19e-10,9.25e+30,24000.0,0.103,0.0,0.01,2431.0,Seyfert,No,Yes,0.000375,7.46e-05,340000000000.0,No,0.3-8keV (Chandra),Chandra,No,Yes,Radio 1.4GHz,45600000.0,4450000.0,35122393.0,3512239.0,17701122.0,1770112.0,,,200353.2745,7.71e+38,1.16e-07,1.16e-08,441274.0,3940.0,,Yes,10.2,0.00015,334000000000.0,7.7e-05,0.00052,346000000000.0,8.88e-05,7.36,,,,0.02,0.0,Radio,20000000.0,,,,Synch,,9.23e+37,2.05e+37,39.03,0.04,0.0005625476352497449,2.2,0.6,,N,1.07e-06,2.95e-06,3.74e-06,3.7503175683316326e+42,236.0194175,9.3e+36,7.999,0.015,147138498.0,,193.0172882,148.7295685,74.95731354,,-0.71,0.2,Tim,Spiral,14713850.0,3.72e+36,5.1821888159206497e-05,19.30173076,14.87295936,7.495736346,0.397448042,0.204292941,5.58e+36,0.0,Chandra/Einstein/No,8.269999999999999e+36,1.64e+36,6.510137421,276.9217224,27.69217359,3.07,3.71,0.636576961,0.04,0.04,2.9500000000000012e+41,38.9,1.3489628825916615,90.0,0.01860119,-1.730459271,9.870835839848856e+37,1.0715193052376092e+39,9.03e+35,,3.4547925439470995e+41
NGC5064,,,,,,,,0.1,0.001,0.01,50359.0,No class,No,Yes,0.000279,2.59e-05,238000000000.0,Yes,No survey,,No,No,Radio 1.4GHz,47129809.0,4713508.0,25630156.0,2563985.0,12541004.0,1256081.0,4765000.0,481689.0,,,,,679060.0,248000.0,285075996.0,ND,10.93,0.00027,230000000000.0,3.99e-05,0.00029,245000000000.0,3.5e-05,34.0,1.15,3.02,3.05,0.31,9.87,Mix,36000000.0,1800.0,263000.0,91.0,Thermal,270000.0,,,,,,2.7,0.9,,N,2.82e-06,4.41e-06,3.98e-06,,5035.9,1.93e+38,10.451,0.073,135650379.0,0.001405805,9.698419571,5.274199247,2.580700517,28507687.0,0.11,0.2,Tim,Spiral,13565221.0,2.46e+37,,0.969950489,0.527619472,0.258477622,0.893740181,0.2045574,1.68e+38,28.0,NA/NA/NA,9.19e+37,8.529999999999999e+36,8.386819026,27.91427135,2.791464845,3.03,3.2,0.170031278,0.04,0.04,3.79e+42,,,210.0,,,,,1.93e+37,285075996.0,
NGC5765b,,,,,,,,0.0232,0.0,0.00232,131346.0,Seyfert 2,No,Yes,0.000328,6.16e-05,226000000000.0,Yes,X-ray 2-10 keV (Chandra),Chandra,Yes,Yes,No survey,,,,,,,,,103270724.2,3.969999999999999e+41,5.95e-05,5.96e-06,217437186.0,4000000.0,4591337266.0,No,11.21,0.000342,225000000000.0,3.24e-05,0.000307,227000000000.0,3.1e-05,114.0,,,,4.04,178.39,Mix,,,,,Thermal,,5.37e+40,5.37e+39,,,,2.8,1.5,,N,2.04e-06,7.32e-07,6.96e-07,,13134.6,5.03e+38,10.9,0.07,256592999.0,0.002013964,,,,459133820.0,1.43,0.2,Tim,Spiral,25660976.0,5.14e+38,,,,,-0.009920065,0.2045574,-1.16e+37,7.1,NA/NA/NA,1.1499999999999999e+39,2.17e+38,,4.696758389,0.469706481,3.31,,,0.04,,,,,,,,,,5.03e+37,4591337266.0,
NGC5806,,,,,,,,0.0153,0.0,0.00153,3052.0,Seyfert 2,Yes,No,0.000142,4.73e-05,238000000000.0,Yes,No survey,,No,No,Radio 1.4GHz,14491164.0,1449125.0,10512424.0,1051254.0,5940115.0,594032.0,,,,,,,2811198.0,,302353443.0,ND,10.57,,,,,,,21.4,,,,,31.01,ND,13000000.0,,,,Thermal,,,,,,,3.2,0.8,,N,3.51e-06,,,,305.2,1.17e+37,11.128,0.073,36957884.0,0.003763652,7.527293563,5.460575819,3.085534573,30235345.0,-0.03,0.2,Tim,Spiral,3695792.0,1.78e+37,,0.752733654,0.546063506,0.308563941,-0.183752387,0.2045574,-6.15e+36,12.7,NA/NA/NA,1.85e+37,0.0,6.954603317,19.19741154,1.919742839,2.47,2.88,0.410207738,0.04,0.04,,,,110.0,,,,,1.17e+36,302353443.0,
NGC5995,1.86e-06,1.86e-07,9730000000.0,1.86e-06,1.86e-07,,9730000000.0,0.0307,0.0013,0.0033,154552.0,Seyfert 2,No,Yes,0.000994,3.31e-05,234000000000.0,Yes,X-ray 2-10 keV (ASCA),Chandra,Yes,Yes,Radio 1.4GHz,,,,,,,,,141000000000.0,5.43e+44,0.08145,0.008145,,9420000.0,,No,11.41,0.0010524,226000000000.0,3.57e-05,0.000953,241000000000.0,3.69e-05,107.5,-1.53,0.8,0.99,10.91,0.0,Radio,190000000.0,6000.0,501000.0,79.0,Synch,29.0,2.45e+43,2.45e+42,,,,0.9,0.5,,N,3.61e-07,2.29e-08,2.66e-08,,16613.08143,5.91e+38,10.261,0.039,,,,,,,,,Me,Spiral,,2.09e+38,,,,,,,,0.0,ASCA/NA/NA,3.22e+39,1.07e+38,,,,,,,,,,,,,,,,,6.359999999999999e+37,,
NGC6753,,,,,,,,0.11,0.000139,0.012,84530.0,No class,No,No,0.000134,4.47e-05,238000000000.0,Yes,No survey,,No,No,Radio 1.4GHz,145815918.0,14581619.0,87537686.0,8753814.0,41883861.0,4188480.0,,,,,,,14465174.0,,608432249.0,ND,10.78,,,,,,,42.0,,,,,28.4,ND,110000000.0,,,,Synch,,,,,,,3.0,0.3,,N,1.19e-05,,,,9221.454545,3.23e+38,10.766,0.099,426980012.0,0.001966237,19.66389179,11.80482626,5.648215413,60843231.0,0.32,0.2,Tim,Spiral,42698010.0,3.99e+37,,1.966392818,1.180488687,0.564834208,0.908673953,0.205430674,2.84e+38,5.9,NA/NA/NA,6.729999999999999e+37,0.0,8.428610867,57.58005619,5.758006862,3.53,3.73,0.195759147,0.04,0.04,5.620000000000001e+42,,,214.0,,,,,3.53e+37,608432249.0,
NGC6958,,,,,,,,0.015,0.001,0.0018,6119.0,No class,No,Yes,0.011,5.69e-05,237000000000.0,Yes,No survey,,No,No,Radio 1.4GHz,14813812.0,1488969.0,9072066.0,919545.0,4069178.0,433730.0,1282000.0,197389.0,,,,,699426.0,8040000.0,176496359.0,No,10.76,0.0111,229000000000.0,7.78e-05,0.0114,245000000000.0,8.36e-05,30.6,0.4,0.15,0.21,9.8,18.96,Mix,3100000.0,1500000.0,2880000.0,1380000.0,Thermal,3100000.0,,,,,,-3.7,1.1,,N,1.72e-05,2.27e-05,2.23e-05,,734.28,2.34e+37,10.245,0.06,50227576.0,0.001074521,3.763458133,2.304763943,1.033777148,17650274.0,-0.58,0.2,Tim,ETG,5025001.0,5.02e+36,,0.378273597,0.233611026,0.110189361,0.668343537,0.206573223,1.84e+37,5.6,NA/NA/NA,2.9199999999999996e+39,1.51e+37,7.89257796,12.76034713,1.276604611,2.6,2.71,0.112684451,0.04,0.05,7.21e+41,,,168.0,,,,,2.81e+36,176496359.0,
