Name,L210,e_L210,Lmm,e_Lmm,log MBH,Other_LogMBH,e_logMBH
                  NGC7682,4.35E+01,4.00E-01,3.88E+01,5.50E-02,7.84E+00,,
                 ESO417-6,4.26E+01,1.00E-01,3.90E+01,4.54E-02,7.91E+00,,
                 ESO426-2,4.33E+01,4.00E-01,3.87E+01,6.11E-02,8.09E+00,,
                ESO137-34,4.26E+01,4.00E-01,3.80E+01,5.97E-02,7.48E+00,,
                ESO323-77,4.29E+01,1.00E-01,3.89E+01,4.87E-02,6.52E+00,,
                ESO362-18,4.30E+01,1.00E-01,3.86E+01,6.25E-02,7.11E+00,,
                ESO383-18,4.28E+01,1.00E-01,3.89E+01,4.93E-02,5.47E+00,,
                ESO424-12,4.24E+01,1.00E-01,0.00E+00,3.81E+01,6.07E+00,,
                ESO499-41,4.24E+01,1.00E-01,0.00E+00,3.85E+01,5.91E+00,,
                ESO511-30,4.35E+01,1.00E-01,3.94E+01,4.49E-02,7.23E+00,,
                ESO565-19,4.35E+01,4.00E-01,3.90E+01,4.54E-02,8.45E+00,,
                Fairall49,4.34E+01,1.00E-01,3.93E+01,5.56E-02,7.76E+00,8.17E+00,4.10E-01
                H0557-385,4.41E+01,1.00E-01,4.02E+01,4.54E-02,7.40E+00,,
                LEDA47848,4.29E+01,1.00E-01,3.92E+01,7.73E-02,,,
                LEDA75258,4.25E+01,1.00E-01,3.88E+01,4.81E-02,7.02E+00,,
                LEDA86269,4.26E+01,1.00E-01,3.87E+01,4.63E-02,7.98E+00,,
                LEDA90334,4.28E+01,1.00E-01,3.88E+01,4.62E-02,6.61E+00,,
               Fairall272,4.30E+01,4.00E-01,3.88E+01,5.26E-02,8.11E+00,,
               MCG-1-40-1,4.33E+01,1.00E-01,3.97E+01,4.46E-02,7.63E+00,,
               MCG-1-9-45,4.18E+01,1.00E-01,3.87E+01,5.28E-02,7.31E+00,7.07E+00,7.50E-01
               MCG-2-2-95,4.23E+01,1.00E-01,0.00E+00,3.84E+01,6.82E+00,,
               MCG-2-8-14,4.28E+01,1.00E-01,3.87E+01,6.10E-02,7.79E+00,,
               PG1149-110,4.36E+01,1.00E-01,3.98E+01,7.90E-02,7.68E+00,,
              Fairall1146,4.35E+01,1.00E-01,3.94E+01,6.35E-02,8.32E+00,,
              LEDA2793282,4.24E+01,1.00E-01,3.92E+01,4.51E-02,6.95E+00,,
              MCG-1-13-25,4.28E+01,1.00E-01,3.99E+01,4.35E-02,7.20E+00,,
              MCG-1-24-12,4.32E+01,1.00E-01,3.92E+01,4.47E-02,7.66E+00,7.88E+00,3.50E-01
              MCG-5-23-16,4.32E+01,1.00E-01,3.93E+01,4.37E-02,7.65E+00,,
              MCG-6-30-15,4.27E+01,1.00E-01,3.82E+01,4.83E-02,6.60E+00,,
           CircinusGalaxy,4.23E+01,4.00E-01,3.79E+01,4.48E-02,6.23E+00,,
           IRAS05078+1626,4.35E+01,1.00E-01,3.92E+01,4.72E-02,6.99E+00,,
           IRAS05189-2524,4.34E+01,1.00E-01,4.00E+01,5.01E-02,7.40E+00,,
     1RXSJ173728.0-290759,4.39E+01,1.00E-01,3.94E+01,4.75E-02,7.84E+00,,
   2MASXJ05081967+1721483,4.26E+01,1.00E-01,3.90E+01,4.46E-02,8.35E+00,,
