Galaxy,Index,Intercept,Mass,Temp,Distance,Beta,Nuc Index,Nuc Intercept,Nuc Mass,LSB Flux,LSB Freq,LSB RMS,USB Flux,USB Freq,USB RMS,SED Flux,SED Freq,SED RMS,SED Date,x0,y0,h,w,1mm flux density (Jy),RMS,1mm frequency (Hz),MCMC,LL,FF Index,FF Intercept,FF Mass,FF Temp,FF Beta,SFR,Dust PL Index,Dust PL Intercept
NGC4697,-0.74,7.96E-05,250000,29,11.4,1.9,-0.69,8.12E-05,170000,0.000416,2.32E+11,6.03E-05,0.000364,2.47E+11,5.27E-05,NGC 4697 Flux Density (Jy),NGC 4697 Frequency (Hz),NGC 4697 Uncertainty (Jy),NGC 4697 Date,0.35,0.6,0.2,0.2,0.000481,4.75E-05,2.39E+11,4697.csv,4697ll.csv,NaN,NaN,NaN,NaN,NaN,NaN,2.5,-30.9
NGC4826,-0.57,0.037,22000000,27,7.36,1.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NGC 4826 Flux Density (Jy),NGC 4826 Frequency (Hz),NGC 4826 Uncertainty (Jy),,0.3,0.2,0.2,0.2,0.000375,7.38E-05,3.4E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.58,-29.7
NGC5064,NaN,NaN,36000000,28,34,1.6,-0.71,0.0026,1800,0.00027,2.3E+11,3.97E-05,0.00029,2.45E+11,3.47E-05,NGC 5064 Flux Density (Jy),NGC 5064 Frequency (Hz),NGC 5064 Uncertainty (Jy),NGC 5064 Date,0.2,0.2,0.2,0.2,0.000279,2.59E-05,2.38E+11,5064.csv,5064ll.csv,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC5765b,NaN,NaN,NaN,NaN,114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0.3,0.2,0.2,0.2,0.000328,6.79E-05,2.26E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC5806,-2.1,4.71E-05,13000000,27,21.4,1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NGC 5806 Flux Density (Jy),NGC 5806 Frequency (Hz),NGC 5806 Uncertainty (Jy),,0.3,0.2,0.2,0.2,0.000143,4.78E-05,2.38E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC5995,NaN,NaN,190000000,29,107.5,1.6,-0.67,0.0083,6000,0.0010524,2.26E+11,3.59E-05,0.000953,2.41E+11,3.78E-05,NGC 5995 Flux Density (Jy),NGC 5995 Frequency (Hz),NGC 5995 Uncertainty (Jy),NGC 5995 Date,0.2,0.2,0.2,0.2,0.000994,3.27E-05,2.34E+11,5995.csv,5995ll.csv,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC6753,-0.91,0.02,140000000,29,42,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NGC 6753 Flux Density (Jy),NGC 6753 Frequency (Hz),NGC 6753 Uncertainty (Jy),,0.3,0.2,0.2,0.2,0.000136,4.53E-05,2.38E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC6958,-0.29,0.008,3100000,30,30.6,1.9,-0.028,0.012,1500000,0.0111,2.29E+11,7.30E-05,0.0114,2.45E+11,7.90E-05,NGC 6958 Flux Density (Jy),NGC 6958 Frequency (Hz),NGC 6958 Uncertainty (Jy),NGC 6958 Date,0.2,0.2,0.2,0.2,0.011,6.68E-05,2.37E+11,6958.csv,6958ll.csv,-0.39,0.004,3100000,30,1.8,2.45,NaN,NaN
NGC7052,-0.75,0.045,11000000,27,51.55,1.7,-0.27,0.06,5100000,0.02633,2.28E+11,0.000216,0.02613,2.44E+11,0.000208,NGC 7052 Flux Density (Jy),NGC 7052 Frequency (Hz),NGC 7052 Uncertainty (Jy),NGC 7052 Date,0.2,0.2,0.2,0.2,0.0178,8.21E-05,2.38E+11,7052.csv,7052ll.csv,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC7172,-0.3,0.02,5.37E+07,26,33.9,1.7,-0.49,0.014,1400,0.00315,2.3E+11,9.53E-05,0.00299,2.45E+11,8.71E-05,NGC 7172 Flux Density (Jy),NGC 7172 Frequency (Hz),NGC 7172 Uncertainty (Jy),NGC 7172 Date,0.2,0.2,0.2,0.2,0.00842,0.000347,2.37E+11,7172.csv,7172ll.csv,-0.42,0.014,28000000,30,1.7,8.5,2.7,-31.9
PGC043387,NaN,NaN,NaN,NaN,95.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0.3,0.2,0.2,0.2,0.000309,0.000103,2.34E+11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
