,Unnamed: 0.34,Unnamed: 0.33,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,log(L(2-10) )(erg/s),log(Mdense) Msol,log(Mdot) (Msol/yr),Radio Flux,Sample,MBH,Lbol,Eddington Fraction
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,42.02,8.91,-2.76,,Sin,7.9,1.1585338858329175e+43,0.0011575458327775406
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,41.4,8.96,-3.48,,Sin,7.42,2.2075408098839405e+42,0.0006660981014783955
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,40.57,7.09,-4.39,,Sin,7.56,2.7158685186940867e+41,5.936605578317276e-05
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,43.2,7.88,-1.32,,Sin,6.92,3.190867282150922e+44,0.3044655753106651
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,42.8,8.05,-1.82,,Sin,6.89,1.0090408322908053e+44,0.10316638093957918
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,42.22,9.15,-2.52,,Sin,6.46,2.0133011469346775e+43,0.05540362688099998
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,40.02,8.75,-4.96,,Sin,7.84,7.309854640954568e+40,8.385678266990023e-06
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,40.91,8.21,-4.02,,Sin,7.38,6.366617240142912e+41,0.00021063871457857025
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,43.1,9.11,-1.45,,Sin,7.24,2.3654225948905034e+44,0.10802846268092746
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,41.54,7.63,-2.5,,Sin,6.6,2.1081851067789194e+43,0.04202794892721069
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,42.39,8.06,-2.32,,Sin,6.73,3.1908672821509234e+43,0.04715613429279074
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,43.01,7.5,-1.56,,Sin,7.87,1.836152468892111e+44,0.01965794862948002
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,43.42,7.69,-1.04,,Sin,7.73,6.080072262372731e+44,0.0898541615059123
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,42.18,8.1,-2.58,,Sin,7.05,1.753511994596921e+43,0.012403327065184776
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,8.43,-3.29,,Sin,7.1,3.419075893275766e+42,0.0021554512053127677
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,43.1,9.26,-1.45,,Sin,7.48,2.3654225948905034e+44,0.062163891795742256
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,43.17,9.46,-1.36,,Sin,6.97,2.9101055482677723e+44,0.24747891073396738
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41.17,8.99,-3.73,,Sin,7.61,1.2413914244419117e+42,0.0002418456029708332
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42.6,8.65,-2.07,,Sin,7.56,5.674253588015845e+43,0.012403327065184789
