Galaxy,Intercept Max,Intercept Min,Intercept Guess,Index Max,Index Min,Index Guess,Mass Max,Mass Min,Mass Guess,Temperature,Distance,Beta,LSB Flux,LSB Freq,LSB RMS,USB Flux,USB Freq,USB RMS,SED Flux,SED Freq,SED RMS
NGC4826,1,0.01,0.1,0,-2,-0.5,20000000,1,20000000,26,7.36,1.8,NaN,NaN,NaN,NaN,NaN,NaN,NGC 4826 Flux Density (Jy),NGC 4826 Frequency (Hz),NGC 4826 Uncertainty (Jy)
NGC5064,0.1,0.001,0.1,0,-2,-1,36000000,1,36000000,28,34,1.6,0.00027,230000000000,3.97E-05,0.00029,245000000000,3.47E-05,NGC 5064 Flux Density (Jy),NGC 5064 Frequency (Hz),NGC 5064 Uncertainty (Jy)
NGC5765b,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC5806,0.0001,1E-06,1E-05,0,-5,-4,13000000,NaN,13000000,27,21.4,1.7,NaN,NaN,NaN,NaN,NaN,NaN,NGC 5806 Flux Density (Jy),NGC 5806 Frequency (Hz),NGC 5806 Uncertainty (Jy)
NGC5995,0.01,0.0001,0.001,0,-2,-1,190000000,1,190000000,29,107.5,1.6,0.0010524,226000000000,3.59E-05,0.000953,241000000000,3.78E-05,NGC 5995 Flux Density (Jy),NGC 5995 Frequency (Hz),NGC 5995 Uncertainty (Jy)
NGC6753,0.1,0.001,0.01,0,-2,-0.9,110000000,NaN,110000000,28,42,1.7,NaN,NaN,NaN,NaN,NaN,NaN,NGC 6753 Flux Density (Jy),NGC 6753 Frequency (Hz),NGC 6753 Uncertainty (Jy)
NGC6958,0.1,0.001,0.01,0,-2,-0.31,3100000,1,3100000,30,30.6,1.9,0.0111,229000000000,7.3E-05,0.0114,245000000000,7.9E-05,NGC 6958 Flux Density (Jy),NGC 6958 Frequency (Hz),NGC 6958 Uncertainty (Jy)
NGC7052,1,0,1,0,-2,-0.48,11000000,1,11000000,27,51.55,1.7,0.02633,228000000000,0.000216,0.02613,244000000000,0.000208,NGC 7052 Flux Density (Jy),NGC 7052 Frequency (Hz),NGC 7052 Uncertainty (Jy)
NGC7172,0.1,0.001,0.01,0,-2,-0.39,30000000,1,30000000,30,33.9,1.6,0.00315,230000000000,9.53E-05,0.00299,245000000000,8.71E-05,NGC 7172 Flux Density (Jy),NGC 7172 Frequency (Hz),NGC 7172 Uncertainty (Jy)
PGC043387,NaN,NaN,NaN,0,-2,NaN,NaN,1,NaN,NaN,95.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
