FRL 49 Frequency (Hz),FRL 49 Flux Density (Jy),FRL 49 Uncertainty (Jy),NGC 0383 Frequency (Hz),NGC 0383 Flux Density (Jy),NGC 0383 Uncertainty (Jy),NGC 0449 Frequency (Hz),NGC 0449 Flux Density (Jy),NGC 0449 Uncertainty (Jy),NGC 0524 Frequency (Hz),NGC 0524 Flux Density (Jy),NGC 0524 Uncertainty (Jy),NGC 0612 Frequency (Hz),NGC 0612 Flux Density (Jy),NGC 0612 Uncertainty (Jy),NGC 0708 Frequency (Hz),NGC 0708 Flux Density (Jy),NGC 0708 Uncertainty (Jy) ,NGC 1194 Frequency (Hz),NGC 1194 Flux Density (Jy),NGC 1194 Uncertainty (Jy),NGC 1387 Frequency (Hz),NGC 1387 Flux Density (Jy),NGC 1387 Uncertainty (Jy),NGC 2210 Frequency,NGC 2210 Flux Density (Jy),NGC 2210 Uncertainty (Jy),NGC 3169 Frequency (Hz),NGC 3169 Flux Density (Jy),NGC 3169 Uncertainty (Jy),NGC 3607 Frequency (Hz),NGC 3607 Flux Density (Jy),NGC 3607 Uncertainty (Jy),NGC 3862 Frequency (Hz),NGC 3862 Flux Density (Jy),NGC 3862 Uncertainty (Jy),NGC 4061 Frequency (Hz),NGC 4061 Flux Density (Jy),NGC 4061 Uncertainty (Jy),NGC 4261 Frequency (Hz),NGC 4261 Flux Density (Jy),NGC 4261 Uncertainty (Jy),NGC 4438 Frequency (Hz),NGC 4438 Flux Density (Jy),NGC 4438 Uncertainty (Jy),NGC 4501 Frequency (Hz),NGC 4501 Flux Density (Jy),NGC 4501 Uncertainty (Jy),NGC 4697 Frequency (Hz),NGC 4697 Flux Density (Jy),NGC 4697 Uncertainty (Jy),NGC 6958 Frequency (Hz),NGC 6958 Flux Density (Jy),NGC 6958 Uncertainty (Jy),NGC 7052 Frequency (Hz),NGC 7052 Flux Density (Jy),NGC 7052 Uncertainty (Jy),NGC 7172 Frequency (Hz),NGC 7172 Flux Density (Jy),NGC 7172 Uncertainty (Jy),NGC 4826 Frequency (Hz),NGC 4826 Flux Density (Jy),NGC 4826 Uncertainty (Jy),MRK 567 Frequency (Hz),MRK 567 Flux Density (Jy),MRK 567 Uncertainty (Jy),NGC 3351 Frequency (Hz),NGC 3351 Flux Density (Jy),NGC 3351 Uncertainty (Jy),NGC 3368 Frequency (Hz),NGC 3368 Flux Density (Jy),NGC 3368 Uncertainty (Jy),NGC 5806 Frequency (Hz),NGC 5806 Flux Density (Jy),NGC 5806 Uncertainty (Jy),NGC 6753 Frequency (Hz),NGC 6753 Flux Density (Jy),NGC 6753 Uncertainty (Jy),NGC 4435 Frequency (Hz),NGC 4435 Flux Density (Jy),NGC 4435 Uncertainty (Jy),NGC 5995 Frequency (Hz),NGC 5995 Flux Density (Jy),NGC 5995 Uncertainty (Jy),NGC 5064 Frequency (Hz),NGC 5064 Flux Density (Jy),NGC 5064 Uncertainty (Jy),NGC 4429 Frequency (Hz),NGC 4429 Flux Density (Jy),NGC 4429 Uncertainty (Jy)
,,,365000000,1.58,0.092,,,,,,,19900000000,0.44,0.01,1400000000,0.0674,0.0024,,,,,,,,,,,,,,,,60000000,76,6,,,,408000000,36.5,6.48,8600000000,0.049,0.004,10600000000,0.048,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,408000000,8.26,0.68,,,,,,,22000000000,0.068,0.007,4540000000,0.027,1,,,,,,,,,,,,,,,,73800000,35.5,3.55,,,,635000000,32,0.43,10600000000,0.044,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,750000000,8.63,0.16,,,,,,,,,,4850000000,0.032,0.004,,,,,,,,,,,,,,,,80000000,43,6,,,,750000000,26,1.3,14900000000,0.0089,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1400000000,4.8,0.24,,,,,,,,,,4860000000,0.0224,0.00109,,,,,,,,,,,,,,,,86000000,61,4.2,,,,960000000,24.6,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2380000000,1.52,0.076,,,,,,,,,,5000000000,0.0032,0.000192,,,,,,,,,,,,,,,,160000000,22.2,2.9,,,,1400000000,10.4,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2700000000,3.53,0.05,,,,,,,,,,8460000000,0.0108,0.00047,,,,,,,,,,,,,,,,178000000,28.3,1.42,,,,1410000000,19.5,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4830000000,0.714,0.01,,,,,,,,,,22500000000,0.00564,0.00088,,,,,,,,,,,,,,,,318000000,18.1,0.68,,,,2380000000,10.9,0.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4850000000,1.12,0.144,,,,,,,,,,43300000000,0.0054,0.00064,,,,,,,,,,,,,,,,365000000,2.62,0.066,,,,2700000000,12.9,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5000000000,2.09,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,408000000,17,3.55,,,,4850000000,4.93,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6630000000,2.1,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,635000000,12,0.32,,,,4900000000,0.39,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8400000000,0.098,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,750000000,9.62,0.257,,,,5000000000,8.32,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10600000000,1.21,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000000,3.51,0.119,,,,5010000000,9.31,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10700000000,1.09,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410000000,5.8,0.15,,,,6700000000,1.01,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,99900000000,0.0791,0.00113,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660000000,0.209,0.1,,,,8000000000,6.23,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,300000000000,0.0744,0.00278,,,,,,,,,,,,,,,,,,,,,,,,,,,,2380000000,3.08,0.124,,,,8400000000,0.429,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700000000,3.27,0.051,,,,10700000000,5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4830000000,1.98,0.1,,,,23000000000,2.8,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4850000000,1.67,0.251,,,,31400000000,4.06,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4860000000,0.724,0.00955,,,,33000000000,2.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000000,1.99,0.1,,,,41000000000,2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5010000000,2.01,0.06,,,,61000000000,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
